Frosty King,22,3.5,$$,37.42677689,-120.7735519,Delhi,CA,N/A,11
Baskin Robbins,4,2.5,$$,37.3605649,-120.6111452,Atwater,CA,28168,16
Yogurt Swirl,2,3,$$,36.63764649,-120.626061,Firebaugh,CA,7549,2
Fruital Raspados,1,5,N/A,37.36141353,-120.604174,Atwater,CA,28168,16
G's Creamery,29,5,$$,36.87393,-119.74158,Fresno,CA,494665,36
G's Creamery,203,4.5,$,36.82249076,-119.8278446,Fresno,CA,494665,47
Reimer's Candies & Gifts,52,4.5,$,37.3594409,-119.644062,Oakhurst,CA,N/A,4
Big Kahuna Frozen Yogurt,13,4.5,$,37.3319106,-119.6578568,Oakhurst,CA,N/A,4
Ampersand Ice Cream,392,4.5,$$,36.76838654,-119.8039518,Fresno,CA,494665,49
Bon Gout Gelato Lounge,119,4.5,$,36.85352257,-119.73093,Fresno,CA,494665,43
Menchie's,78,5,$,36.80876752,-119.8464003,Fresno,CA,494665,41
Rita's,93,4.5,$,36.80904007,-119.6942825,Clovis,CA,95631,49
Menchie's Frozen Yogurt,44,5,$,36.8383899,-119.72892,Clovis,CA,95631,49
Rita's of Fresno,36,4.5,$,36.87217253,-119.7636501,Fresno,CA,494665,38
Mickey's Yogurt,78,4.5,$,36.80894,-119.67361,Clovis,CA,95631,47
Yogurtland,101,4.5,$,36.849551,-119.788255,Fresno,CA,494665,47
Chosen Frozen Yogurt,49,4.5,$,36.86625947,-119.7403268,Fresno,CA,494665,38
Kogetsu-DO Confectionery,108,4.5,$,36.72995,-119.79397,Fresno,CA,494665,37
Jays Specialty Ice Cream,20,4.5,$,36.845416,-119.798372,Fresno,CA,494665,49
JoJo's Yogurt,79,4,$,36.7927636,-119.682668,Clovis,CA,95631,49
Peachy King Frozen Yogurt,17,5,$$,36.7361049,-119.7168871,Fresno,CA,494665,42
Sno Cafe,21,5,$$,36.73759311,-119.7882301,Fresno,CA,494665,42
Creamistry,120,3,$$,36.83897662,-119.7260789,Clovis,CA,95631,49
CREAM,121,3.5,$,36.81674,-119.75502,Fresno,CA,494665,49
Cindy's Frozen Yogurt and Desserts,49,4.5,$,36.75742,-119.8013,Fresno,CA,494665,47
Yum Yum Yogurt,36,4,$,36.83789,-119.69483,Clovis,CA,95631,48
Leilani Shave Ice,96,4,$,36.8514651,-119.7281906,Clovis,CA,95631,47
Yogurtland,14,4,$,36.812234,-119.735631,Fresno,CA,494665,49
La Reyna de Michoacan,57,4.5,$,36.75007,-119.80228,Fresno,CA,494665,44
Haagen Dazs Shop,14,4,$$,36.8497788,-119.7881449,Fresno,CA,494665,47
Sprinkles Donuts,20,4.5,$,36.88161,-119.74884,Fresno,CA,494665,36
Cold Stone Creamery,29,4,$,36.837915,-119.681977,Clovis,CA,95631,47
Marble Slab Creamery,38,3.5,$,36.8675198,-119.7566139,Fresno,CA,494665,38
La Real Michoacana - Ice Cream Shop,12,4,$,36.709408,-119.556089,Sanger,CA,24270,14
Pure Water & Ice Cream,14,4,$$,36.79433,-119.68101,Clovis,CA,95631,49
Scoop's Soups & More,37,3.5,$,36.82456,-119.7018,Clovis,CA,95631,51
Raspados El Diablito Loco,32,4,$,36.7795296,-119.8256683,Fresno,CA,494665,48
The Food Hut 2,37,4,$,36.7944984,-119.72686,Clovis,CA,95631,49
Los 3 Reyes,5,5,$,36.75766727,-119.811838,Fresno,CA,494665,47
Frosty Queen - Fresno,55,4,$,36.74336,-119.79827,Fresno,CA,494665,44
Big Kahuna Frozen Yogurt,36,3.5,$$,36.8083697,-119.6930838,Clovis,CA,95631,49
Cold Stone Creamery,38,3,$$,36.80977,-119.80794,Fresno,CA,494665,49
Cold Stone Creamery,29,4,$$,36.8512819,-119.7912049,Fresno,CA,494665,47
Big Kahuna Yogurt,9,4.5,$,36.60426499,-119.4574196,Reedley,CA,24194,14
Cold Stone Creamery,19,3,$$,36.81210338,-119.7349983,Fresno,CA,494665,49
Fosters Freeze,24,3,$,36.81919,-119.70106,Clovis,CA,95631,51
Yogy O Gurt,16,3.5,N/A,36.57614147,-119.6106504,Selma,CA,23219,7
Fosters Freeze,18,4.5,$$,36.81652,-119.78993,Fresno,CA,494665,49
Hungry Bear Cookies N Cream,13,3.5,$$$$,36.85037,-119.7284,Clovis,CA,95631,47
Antojitos Selenes,7,4,$,36.74317698,-119.753868,Fresno,CA,494665,44
Menchie's Frozen Yogurt,9,4.5,$,36.857208,-119.783794,Fresno,CA,494665,43
Neveria La Tradicional,6,5,$$,36.79300262,-119.8452755,Fresno,CA,494665,42
Reedley Sandwich Shop,39,4,$,36.5956638,-119.4499111,Reedley,CA,24194,14
Fosters Freeze,22,2.5,$,36.80844918,-119.6748709,Clovis,CA,95631,48
Good Earth Yogurt,55,4.5,$$,37.36268473,-118.3955252,Bishop,CA,3879,4
Antojitos Hipocampus,11,5,$,37.36474049,-118.396462,Bishop,CA,3879,4
Frosty Chalet,85,4,$,36.608964,-118.0647931,Lone Pine,CA,N/A,2
Zeppe's Italian Ice & Custard,21,4.5,$,37.123667,-113.621869,St. George,UT,72897,21
Nielsen's Frozen Custard,109,4,$,37.1101699,-113.57377,Saint George,UT,N/A,21
Scoops,1,5,$,36.8020401,-114.1035614,Mesquite,NV,15276,2
Culver's,70,4,$,37.0811153,-113.5781525,Saint George,UT,N/A,21
Kilo's Italian Ice,34,5,$,37.110148,-113.572316,St. George,UT,72897,21
Larsen's Frostop Old Fashioned Drive in,73,4,$,37.10952,-113.56506,St. George,UT,72897,21
Judd's Store,31,4.5,$,37.10823298,-113.5846324,Saint George,UT,N/A,21
Menchie's Frozen Yogurt,23,4,$,37.11011,-113.56874,St. George,UT,72897,21
The Adobe Icebox,19,3.5,$,37.168678,-113.675385,Ivins,UT,6753,18
Freddy's Frozen Custard & Steakburgers,60,4,$,37.1248,-113.52288,Saint George,UT,N/A,20
Iceberg Drive Inn,69,3.5,$,37.109419,-113.578547,St. George,UT,72897,21
Yogurtland,15,4,$,37.107528,-113.553374,St. George,UT,72897,21
The Soda Jerk,1,5,N/A,37.13304206,-113.655534,Santa Clara,UT,6003,21
Krave Frozen yogurt & ice cream,18,3,$,37.11097,-113.59149,St. George,UT,72897,21
Dairy Queen,12,3,$,37.08873847,-113.5829222,Saint George,UT,N/A,21
Sub Zero Ice Cream And Yogurt - Washington,18,2.5,$$,37.1284769,-113.5220062,Washington,UT,18761,20
Baskin-Robbins,4,4,$,37.11023,-113.5936,Saint George,UT,N/A,21
Dairy Queen Grill & Chill,3,4.5,N/A,36.80492,-114.10917,Mesquite,NV,15276,2
Affogato,3,5,$,37.10683,-113.59266,St. George,UT,72897,21
Cold Stone Creamery,15,3,$$,37.1120695,-113.5554786,St. George,UT,72897,21
Swig,11,2.5,$,37.10961,-113.58913,St. George,UT,72897,21
DQ Grill and Chill,2,1,N/A,37.09535004,-113.5232791,St. George,UT,72897,20
Springdale Candy Company,107,4.5,$,37.18886134,-112.9981566,Springdale,UT,529,3
The Soda Fountain,25,4.5,$,37.048504,-112.532007,Kanab,UT,4312,2
Rock Stop,27,5,$,37.27206,-112.6475,Orderville,UT,577,2
Hoodoos General Store & Ice Cream Parlor,17,4,$,37.19371077,-112.9934761,Springdale,UT,529,3
Moon Saloon,3,5,$,37.04586,-112.52676,Kanab,UT,4312,2
Tsunami Juice & Java,5,3,$,37.19842144,-112.9915357,Springdale,UT,529,3
Brothers Bistro,5,4,$,36.9918438,-112.9739251,Colorado City,AZ,4821,1
U-swirl,11,3,$$,36.9170437,-111.4592376,Page,AZ,7247,1
Cream Bean Berry,80,4.5,$,37.27504,-107.88066,Durango,CO,16887,8
Vanilla Moose,5,5,$$,36.82715814,-108.0169988,Aztec,NM,6763,7
Top That Frozen Yogurt,12,3.5,$$,37.27061214,-107.8818047,Durango,CO,16887,8
Aspen Leaf Yogurt,5,4.5,$,36.76936,-108.14482,Farmington,NM,45877,6
Cold Stone Creamery,6,4,$$,37.26985,-107.88144,Durango,CO,16887,8
Cold Stone Creamery,3,4.5,$$,37.3510851,-108.5635935,Cortez,CO,8482,4
Freddy's Frozen Custard & Steakburgers,26,3.5,$,36.7657432,-108.1524166,Farmington,NM,45877,6
Baskin-Robbins,2,2.5,N/A,37.27372192,-107.882022,Durango,CO,16887,8
Cold Stone Creamery,2,3,$$$,36.76633682,-108.1460256,Farmington,NM,45877,6
Cattle Drive Coffee,9,5,$$,37.332288,-108.338908,Mancos,CO,1336,4
Green Table Cafe,1,5,N/A,37.34697,-108.29209,Mancos,CO,1336,4
Dairy Queen,3,2,N/A,36.7327652,-108.1931992,Farmington,NM,45877,5
Dairy Queen,3,3,$,37.34831619,-108.5706329,Cortez,CO,8482,4
Dairy Queen,6,3.5,$,36.711662,-107.988418,Bloomfield,NM,8112,3
Dairy Queen,1,1,N/A,36.82838,-107.98595,Aztec,NM,6763,2
PS Fro Yo,8,4.5,$,37.26728,-107.01209,Pagosa Springs,CO,1727,4
The Peak Deli,85,5,$,37.26793862,-107.0099735,Pagosa Springs,CO,1727,4
Tutti Scoops,6,4.5,$,37.1693281,-104.5059804,Trinidad,CO,9096,1
Dairy Queen,3,2,$$,36.626,-102.37785,Boise City,OK,1266,2
Braum's,8,3.5,$,36.6974,-101.48365,Guymon,OK,11442,2
Smrcka's Dairy Snack,2,5,$,36.8107834,-97.73380064,Medford,OK,996,1
Braum's Ice Cream & Dairy Stores,7,3.5,$,36.73469925,-97.06790924,Ponca City,OK,25387,4
Braum's Ice Cream and Dairy Store,7,3,$,37.24037938,-96.99178733,Winfield,KS,12301,1
Cherry Berry,1,4,$$,36.737739,-97.066505,Ponca City,OK,25387,4
Sonic Drive-In,3,2.5,N/A,37.0802,-97.03962,Arkansas City,KS,12415,1
Braum's Ice Cream & Dairy Stores,2,4,N/A,37.03341,-95.64306,Coffeyville,KS,10295,1
Jared's Frozen Custard,8,3.5,$$$,36.72797486,-95.9255556,Bartlesville,OK,35750,7
Freddy's Frozen Custard & Steakburgers,2,4,$,36.7206231,-95.93563598,Bartlesville,OK,35750,7
Braum's Ice Cream & Dairy Store,1,4,$$,37.22304885,-95.70435047,Independence,KS,9483,1
Braum's Ice Cream & Dairy Stores,2,2.5,$,36.74534,-95.93197,Bartlesville,OK,35750,7
Linger Longer Antiques,2,5,$$$,36.79996109,-95.93662262,Dewey,OK,3432,7
Braum's Ice Cream & Dairy Stores,4,2.5,$,36.7121085,-95.9352549,Bartlesville,OK,35750,7
Andy's Frozen Custard,31,4.5,$,37.057392,-94.4784369,Joplin,MO,50150,13
All Aboard Ice Cream,6,5,$,37.01994855,-94.51475449,Joplin,MO,50150,12
Sweet Caroline's Cream & Coffee,11,3.5,$,37.079206,-94.513367,Joplin,MO,50150,14
Carthage Deli & Ice Cream,9,4.5,$,37.1768732,-94.3110501,Carthage,MO,14378,3
Culver's,7,4,$,37.1406092,-94.4746051,Webb City,MO,10996,11
Orange Leaf Frozen Yogurt,9,3,$$,37.06396,-94.47911,Joplin,MO,50150,13
Braum's Ice Cream & Dairy Stores,3,5,$$,37.12149,-94.47464,Joplin,MO,50150,12
Pineapple Bliss,4,5,N/A,37.06721,-94.51456,Joplin,MO,50150,14
Baskin-Robbins,1,5,$,37.056385,-94.514442,Joplin,MO,50150,14
Ma-Ko-Sha Coffee @ Downstream Casino,1,4,$,36.99804179,-94.62488338,Quapaw,OK,906,11
Braum's,5,3.5,$$,37.06246185,-94.47883606,Joplin,MO,50150,13
Shakes Frozen Custards,4,2,$$,37.14202,-94.48478,Webb City,MO,10996,12
Shake's Frozen Custard,4,3.5,$$,37.14067,-94.31359,Carthage,MO,14378,3
Braum's Ice Cream,7,4,$,37.17677817,-94.31406029,Carthage,MO,14378,3
Shake's Frozen Custard,7,2.5,$$,37.074359,-94.476196,Joplin,MO,50150,13
Braum's,6,3.5,$$,37.40405,-94.70442,Pittsburg,KS,20233,6
La Botanita,1,5,N/A,37.08932326,-94.47761737,Joplin,MO,50150,13
Braum's Ice Cream & Dairy Store,1,4,$,36.8645924,-94.3814648,Neosho,MO,11835,1
Dairy Queen,6,3,N/A,37.0747651,-94.6347999,Galena,KS,3085,7
Sweet Designs Cakery,3,3.5,$$,37.41052628,-94.70529938,Pittsburg,KS,20233,6
Freddy's Frozen Custard & Steakburgers,6,4.5,$,37.3950497,-94.7053406,Pittsburg,KS,20233,6
Braum's Ice Cream,3,2,$,36.5932551,-94.77501,Grove,OK,6623,4
Dairy Queen,3,1.5,$$,36.5740853,-94.7693825,Grove,OK,6623,4
Andy's Frozen Custard,74,4.5,$,36.6391499,-93.2847146,Branson,MO,10520,36
