Ab. Y Paleteria La Chaparrita,1,4.0,N/A,23.6345012367459,-102.552784122527,Taylor Lake Village,TX
Frozen Twist,4,4.5,$,26.306482,-98.191967,Edinburg,TX
Freddy's Frozen Custard & Steakburgers,23,3.5,$,26.194935,-98.204162,Pharr,TX
Yogurt Divas,8,4.5,$,26.18933,-97.7074,Harlingen,TX
Rolling With Cream,11,3.5,$$,26.2376002,-98.2137258,McAllen,TX
Brain Freeze,3,5.0,$$,26.174671,-97.674385,Harlingen,TX
Grandma's Snow Wiz Express,2,5.0,$,26.1666368,-97.9771727,Weslaco,TX
"MOOYAH Burgers, Fries & Shakes",32,4.5,$,26.2192945668892,-98.2606325600545,McAllen,TX
Baskin-Robbins,5,4.0,$,26.19767,-98.2053,McAllen,TX
Popeyes Sno Cone,7,4.5,$,26.18968,-98.16771,San Juan,TX
El parasol,4,4.0,$,26.3415257790749,-98.190607689321,Edinburg,TX
Fruit On Ice,5,4.5,$$,26.2040783161887,-98.2312382695491,McAllen,TX
Sweet Spot Frozen Yogurt Harlingen,5,3.0,$$,26.189791,-97.715309,Harlingen,TX
Sweet Cece's Frozen Yogurt & Treats,4,4.0,N/A,26.2716808,-98.2190781,McAllen,TX
Ben & Jerry's,5,4.0,$$,26.1946039,-98.2594114,McAllen,TX
Baskin Robbins,4,5.0,$$,26.2382145,-98.2124405,McAllen,TX
Red Mango,13,4.0,$$,26.252628326416,-98.2222442626953,McAllen,TX
Sweet Spot Frozen Yogurt,3,3.5,$,26.2709098,-98.2010875,Edinburg,TX
The Scoop,3,3.5,$,26.185551584114,-97.7024492109788,Harlingen,TX
Young's Sno Wiz,5,4.5,$,26.2237570434809,-98.2423424720764,McAllen,TX
Yogurt Santa Fe,3,4.5,N/A,26.1688714,-98.2062903,Pharr,TX
Yelateria,2,5.0,$,26.201861387002,-98.2350477010057,McAllen,TX
Richard's Ice Cream Parlor & Deli,1,5.0,N/A,26.186136,-97.702667,Harlingen,TX
