G's Creamery,29,5.0,$$,36.87393,-119.74158,Fresno,CA
G's Creamery,203,4.5,$,36.8224907626428,-119.827844649553,Fresno,CA
Reimer's Candies & Gifts,52,4.5,$,37.3594409,-119.644062,Oakhurst,CA
Big Kahuna Frozen Yogurt,13,4.5,$,37.3319106,-119.6578568,Oakhurst,CA
Ampersand Ice Cream,392,4.5,$$,36.7683865371837,-119.803951810973,Fresno,CA
Bon Gout Gelato Lounge,119,4.5,$,36.8535225652264,-119.730929969366,Fresno,CA
Menchie's,78,5.0,$,36.8087675189922,-119.846400250967,Fresno,CA
Rita's,93,4.5,$,36.8090400695801,-119.694282531738,Clovis,CA
Menchie's Frozen Yogurt,44,5.0,$,36.8383899,-119.72892,Clovis,CA
Rita's of Fresno,36,4.5,$,36.8721725280965,-119.763650050074,Fresno,CA
Mickey's Yogurt,78,4.5,$,36.80894,-119.67361,Clovis,CA
Yogurtland,101,4.5,$,36.849551,-119.788255,Fresno,CA
Chosen Frozen Yogurt,49,4.5,$,36.8662594712883,-119.740326827474,Fresno,CA
Kogetsu-DO Confectionery,108,4.5,$,36.72995,-119.79397,Fresno,CA
Jays Specialty Ice Cream,20,4.5,$,36.845416,-119.798372,Fresno,CA
JoJo's Yogurt,79,4.0,$,36.7927636,-119.682668,Clovis,CA
Peachy King Frozen Yogurt,17,5.0,$,36.7361049,-119.7168871,Fresno,CA
Sno Cafe,21,5.0,$$,36.7375931052305,-119.788230098784,Fresno,CA
Creamistry,120,3.0,$$,36.8389766237901,-119.726078946746,Clovis,CA
CREAM,121,3.5,$,36.81674,-119.75502,Fresno,CA
Cindy's Frozen Yogurt and Desserts,49,4.5,$,36.75742,-119.8013,Fresno,CA
Yum Yum Yogurt,36,4.0,$,36.83789,-119.69483,Clovis,CA
Leilani Shave Ice,96,4.0,$,36.8514651,-119.7281906,Clovis,CA
Yogurtland,14,4.0,$,36.812234,-119.735631,Fresno,CA
La Reyna de Michoacan,57,4.5,$,36.75007,-119.80228,Fresno,CA
Haagen Dazs Shop,14,4.0,$$,36.8497788029629,-119.788144884835,Fresno,CA
Sprinkles Donuts,20,4.5,$,36.88161,-119.74884,Fresno,CA
Cold Stone Creamery,29,4.0,$,36.837915,-119.681977,Clovis,CA
Marble Slab Creamery,38,3.5,$,36.8675198,-119.7566139,Fresno,CA
La Real Michoacana - Ice Cream Shop,12,4.0,$,36.709408,-119.556089,Sanger,CA
Pure Water & Ice Cream,14,4.0,$$,36.79433,-119.68101,Clovis,CA
